"ID","cohort","Cer(d18:0_24:1)","Cer(d20:0_22:1)","Cer(d20:1_14:0)","Cer(d20:1_16:0)","Cer(d20:1_22:0)","Cer(d24:0_19:1)","Cer(d42:3)","Cer(m20:1_22:0","Cer(m42:1","Hex1Cer(d34:1","Hex1Cer(d34:1)","Hex2Cer(d34:1)","LPE(18:2)-H","LPE(20:4)-H","PC(14:0_20:4)","PC(16:0_18:2)","PC(16:0e_20:4)","PC(16:1e_18:2)","PC(16:1e_20:4)","PC(17:0_18:2)","PC(18:0_18:1)","PC(18:0_18:2)","PC(18:1_18:1)","PC(18:1_22:6)","PC(18:2_18:2)","PC(34:4D8)","PC(8:0e_10:0)","PE(16:0_20:4)-H","PE(16:0_22:6)-H","PE(16:1e_20:4)-H","PE(18:0_20:4)-H","PE(18:1_20:4)-H","PE(18:2e_20:4)-H","PI(16:0_18:2)-H","PI(16:0_20:4)-H","PI(18:0_18:2)-H","PI(18:0_20:4)-H","PI(22:0_18:3)-H","SM(d36:2D9)"
"001-6",2020,3228969.946,2775710.04,440415.9747,24095.09742,487425.9661,757217.8657,37086.72998,591526.3019,127405.0364,218153.6096,759342.4359,919932.269,248480.0741,446920.6616,600325.5558,20789575.88,495380.9745,215856.6732,388599.0954,173934.279,1846.731074,182932.2273,3499821.994,240138.2313,6954036.457,293519.7935,1255000.433,431808.1532,479613.4511,941882.0695,133873.4028,170749.162,67954019.54,207052.1538,341282.9803,396850.3581,2429343.269,385821.9406,7918045.686
"004-8",2020,814037.2091,1727188.304,135295.0119,11775.2209,102872.4367,83290.44214,54326.6317,351521.73,97569.05871,100224.51629823,577710.3776,190791.1684,5657.235113,206166.4067,26327.47196053,162646.9639,66624.29889949,1957351.85601901,102367.53947167,8433.739284,92543.68604,2707923.755,2008351.909,266959.4144,4475268.924,12517.35191,552846.6036,152189.2546,332023.101,78655.60376,241440.8079,43679.18389,26654960.9840977,66334.17552,33714.94087,86147.42379,429330.1387,190005.9132,3662747.348
"005-8",2020,2058443.062,361016.4883,259089.0329,15523.29861,205733.6016,306770.8412,95842.78641,962781.2018,5083.394846,221043.6559,1334320.357,347167.9581,332197.3117,306910.4396,39874.310857806,328544.6997,2666.7615,1816871.34160491,1597.9908,72074.6256,116639.3615,3926655.496,6864252.995,195725.16462232,5603818.85,47610.53468,396120.5768,1563787.234,9320.694629,146164.4205,248776.8163,10439.5508,19535096.694081,135060.1089,55244.2787,174330.4069,476637.2588,597538.3665,610224.9777
"006-8",2020,7801666.855,627231.2685,354327.6081,36290.92809,78804.41121,857775.4021,59658.45216,105785.6615,35922.95241,128014.6357,361201.8992,486752.4581,231003.5895,917080.1727,132970.45075245,494888.8881,20866.4103,90224.8242,143126.43803978,169361.3472,12503.14445,21851.29654,635070.4016,863828.4195,17059297.77,319984.512,425471.1825,847024.7793,716720.2201,656746.5112,730641.9008,157698.578,116630894.3,503723.8144,691433.903,950020.215,4386157.868,345615.5437,9027559.624
"009-10",2020,3342600.731,460663.8608,541288.4213,115323.8544,96733.95104,216036.5792,33840.10889,2363908.593,37042.33065,281456.3845,1160376.214,333239.7881,124034.2933,320652.0967,28961.270410986,1010470.274,63171.98224684,18423.8757,83454.55917903,73272.36864,133550.5427,158244.0833,348248.7045,473038.6854,5258828.569,683832.8679,396983.439,156207.8157,32642.03368,137888.6691,207534.223,35202.68138,25829726.6851257,100858.5572,62053.53868,188015.5081,826346.8836,321947.6153,6437688.024
"010-10",2020,1638014.747,4091464.984,448602.6365,30648.8596,189191.2456,287968.3086,97532.61157,669710.8589,207712.7556,59276.82951,538376.7628,691660.6286,431255.3017,500674.4984,44665.642119606,1761441.34920954,78048.79196629,1832827.24543581,156225.116292389,104297.78455827,279692.9822,631344.7765,1218843.887,104301.75539976,175478.5025,237094.6725,13603.7561,55628.35136,22645.05992,187431.60055566,8814.525641,59612.41880292,24325858.3446224,162266.6212,166700.0525,387399.3343,1378418.035,245545.9671,763454.97345637
"011-11",2020,2789023.861,4493307.134,605860.3228,35743.93268,143569.0556,169441.2654,78511.54342,910565.81,180360.8779,74210.02192,281963.2963,657346.7341,264251.0636,546806.113,46427.71728134,1687842.334,71888.92481189,1786102.65612514,133786.28515051,92529.64862259,101242.0062,137636.2477,1698141.731,152689.70091029,4201780.4700712,127937.0422,25495.64385,157367.3863,621990.245,206539.42746648,19432.32763,23878.04143,28885356.4512105,196346.5793,239664.8045,411363.3646,1600950.12,386912.57,1743436.5209046
"012-11",2020,1878906.853,1335643.921,904404.6498,54568.40865,186625.2569,367495.4506,43059.89146,261461.9022,198934.1044,163340.6831,668169.4747,1363157.752,453713.4246,444973.9081,89456.33189595,2713890.585,110445.670722,2189829.17472668,184051.588580068,15534.81068,32511.73008,3378224.092,233841.0832,49513.86903,4823585.623,275810.645,276248.67680406,229490.8899,118472.4201,25547.95376,104979.0935,86295.11423,163279907.5,456892.0492,521070.483,1666546.468,3385127.185,173076.169,1320158.0379922
"013-11",2020,5279250.864,1621194.084,533582.5883,22495.21285,31937.30453,797903.9481,124424.1607,493634.6893,405907.06,53997.21452,1556402.247,307291.8113,292017.5585,236315.5349,49259.95828744,2539903.293,76583.33320529,4540713.71032919,195957.170679731,90646.1681764201,49065.11435,843086.2275,461123.592,147363.75812094,140882.9419,353423.1941,430910.123581208,89769.01455,1140914.536,238708.64178394,42714.98505,70557.25394412,42617617.5405213,470503.0862,396626.2958,507237.5652,1582275.283,427244.9518,1708998.71082227
"015-13",2020,1200129.486,873924.8276,450438.5177,38436.67434,66113.47904,231157.3187,36783.63009,225984.5159,105156.3513,85494.23557,773917.6793,1067226.973,204255.1075,475934.9358,113174.83132021,3418838.991,118329.28313402,1475618.84654914,164960.478845037,31041.00115,5217.424337,3879338.757,743939.9352,44908.9149,2897600.667,148757.9566,153114.9996,273606.919,154938.6458,91143.87334,331163.9948,170010.6853,91523822.46,509514.6951,461498.2138,1259714.487,3582323.233,235985.1742,1365528.60751068
"016-13",2020,1464785.118,3860561.127,531621.4633,21800.42232,190184.6358,358108.2101,28441.02893,236257.4073,172123.6372,86667.44394,457301.016,721814.8868,429550.0844,463422.8182,39303.19935508,1307478.314,77973.55930326,1437089.51006158,146686.427411889,9494.618033,48591.99425,7106332.519,900317.88,72564.32774,1976356.141,168940.0775,109287.6712,455246.88,73611.37701,57508.33059,211815.0258,35902.17509,29849871.0385825,532437.6582,360389.258,918738.5291,2578052.442,134751.4572,130772.0249
"017-13",2020,1759771.848,2659085.285,322648.1349,25262.54587,97528.63487,610943.0441,12459.22047,873391.18,94063.98606,35931.38207,256415.0631,680070.9091,268268.7434,291037.4827,34260.9393138,1431788.5921894,77985.2280865999,2245820.46943838,150363.413824728,102078.72121009,194589.1295,218783.7135,606830.0345,157064.63234562,3335825.9090117,27581.78201,618731.108339,176288.6199,506963.3448,208534.33921756,54515.07272,46921.93585,43318363.4880079,223120.3792,235141.0676,678977.4514,2860071.418,201685.1728,1846899.2117045
"018-13",2020,1916366.657,2506253.106,756707.866,35982.15427,81355.12055,482103.5936,50341.6868,354234.0153,42803.90572,133469.51,750021.1981,728213.5504,174642.4315,1139259.423,29416.43198475,1534809.87538172,74360.51212432,2588494.87154847,147842.382731167,73339.11335796,609053.4375,2543055.636,984262.1214,131610.47849494,45615.81682,148179.2926,402392.71722018,606909.7624,444566.7167,7187.818136,551505.8601,261147.1217,35434071.4570937,219320.1661,284009.2449,1011615.345,2710084.075,239318.8074,647208.98622167
"019-14",2020,1475515.958,4071622.331,614429.0279,45877.50437,51865.36539,301478.8144,50135.26994,846654.9437,111747.1208,104304.0298,583845.3754,585088.3575,365725.6294,345820.8697,58929.69607552,5125478.343,80695.18952549,54664.17358,246242.661,383803.5314,1228171.085,180718.7358,5208513.13,49294.53798,8779708.458,123739.0179,472732.1083724,44059.53578,33240.50481,55716.79825,160131.9518,60957.29779,25565436.1566441,435777.9283,432807.1787,527570.9184,2221896.228,298799.6709,659645.5428
"020-14",2020,1332854.393,3364020.468,488933.3487,24886.35355,166412.4453,312030.5345,298279.2334,342758.1414,124983.2836,121953.8026,369991.8011,937118.4651,225562.0437,393411.76,37023.308809564,1623032.849,52312.94352344,803835.038311023,115313.36785837,90004.5836266501,14332.76683,1182902.041,1003503.766,101430.64177227,45524.68841,220113.1358,381958.81082362,584360.0157,195097.5483,13102.33709,193540.4867,112270.6566,48709904.416446,858836.5356,772961.7403,2115204.654,4527492.245,207810.5702,1525112.238345
"021-14",2020,4920287.241,1479994.175,644414.6417,39365.35377,47160.11425,818716.4976,106792.9403,470387.5985,25016.20639,7861.589684,728091.1232,533627.2137,115779.1334,209210.6336,32229.73885429,1379163.40166601,78782.25317192,311968.19414932,131692.65644683,91562.2180439501,90104.6084,775294.5783,1714397.979,49759.34843,1115025.371,5653.834599,401310.455817328,142700.5075,661545.9086,287289.701708,88802.92118,9375.587881,19738249.1327211,260658.5591,237748.8496,385564.9239,1358227.624,373249.5308,945615.46435717
"023-14",2020,2815107.919,1549283.071,360524.7739,29950.26837,29373.33372,710486.4708,19499.51472,394757.3201,18707.26811,51930.9915,1290332.402,208224.8602,285156.2328,90574.03191,38341.344447166,1672894.93945333,81397.917136,2790558.61477986,261684.3848,112602.07971708,186951.9983,1437690.28,812045.6561,34505.63241,103731.9629,73989.09173,394358.61266834,87130.48138,547944.055,150918.56031565,59664.20595,22069.69405,34862626.9905323,224353.4713,237975.7355,532539.8658,1890156.787,197445.4898,941757.40643066
"024-14",2020,1317641.852,3034193.279,449312.8223,22306.61503,82784.2111,276249.6626,40365.69801,270964.1195,109136.6612,109675.367,677553.0245,1543919.04,1307437.517,873013.6532,69849.64102095,5800161.065,74771.11643287,348223.760032544,137342.378000749,92725.88571,9405.938262,241415.6834,2524973.691,209652.1723,9765925.629,24638.08019,57716.82743,1570892.704,320793.6098,213103.5094,999902.5439,405990.6461,3731769.073,1423603.881,1583800.816,1603334.382,3175029.64,192936.9283,181175.9943
"026-15",2020,1773149.953,5952667.877,735406.175,42992.38362,265836.6723,284321.9808,8451.923271,440235.6753,97823.34586,78202.46857,674058.317,828012.2646,531431.3648,399348.6714,54009.4931142,10909789.65,73866.58660497,58234.14486,142463.30068562,89456.35816,17294.41957,7841010.937,484958.5365,76998.61278,14381395.5,308144.8326,106847.3424,675108.6653,178154.9379,370071.7893,618058.6126,266153.0499,37874143.72,821112.8409,426776.0542,1441537.666,2473450.67,211173.0768,262787.9943
"027-15",2020,1257464.849,2903227.405,512272.2189,38940.47591,144851.9196,279346.7261,8716.996697,335331.5032,120602.0199,115409.1558,830648.4305,850832.9833,286631.2901,256961.4897,76140.7146171699,726958.0123,110709.16328371,2840042.80554135,159250.339161701,88815.08364,35516.30177,584926.5708,5320882.612,145300.05466089,3758933.051,62005.76003,461475.638958968,302734.4307,218404.9119,200049.3055,480411.5209,345510.9087,130665331.5,375625.3763,532957.3604,619760.3709,3253147.165,173524.442,1631955.87500147
"028-15",2020,11451761.61,2561291.998,462899.1353,44218.5356,448069.6446,430274.4207,42068.74666,436724.4143,93408.16153,97071.28251,492971.823,682386.0906,250787.983,440852.282,37491.51664627,1697387.90821713,74425.2459224,2376530.70078369,133881.868547566,69957.26021342,480863.8917,2977266.501,818139.0293,51078.74211,1437924.72,51435.75946,375804.3199167,646176.7346,319559.4102,8225.328914,390361.6537,101301.7837,18562447.2,583403.6693,436536.6719,638600.6541,1639756.335,77109.74118,439401.82800549
"030-4",2020,1472005.985,2786327.782,693491.1353,62726.05905,176256.669,270170.927,25177.40223,313530.03,140357.0133,94405.1835,468856.8104,1023149.251,382473.4315,406513.4067,25607.93828338,618181.4124,59419.81970691,384801.39214626,96284.849692329,103592.2016,50670.71547,12328401.2,7347987.797,106105.5381,4766005.906,142252.1359,517890.5728,217229.6772,123843.1037,100568.7114,503268.9561,49011.65853,22976594.63,1045586.559,1150567.358,2443566.962,6491195.484,173443.2623,461575.6073
"031-4",2020,1208835.894,1331509.939,454764.9577,25467.9392,216871.512,680533.2959,36210.19796,250248.5697,40149.36673,119313.9329,448475.1911,837741.2361,205204.8195,210403.8253,72818.7332097259,728379.9597,114926.55244005,3246259.16590692,156853.421738929,83243.2178694,522186.7442,605213.0415,776877.1476,151323.77978465,668975.9066,163271.9745,88846.4572,1325628.614,224145.5132,47779.36612,280021.2105,92181.07963,113236285.1,398001.2668,330148.6248,1055676.274,2861727.398,251659.542,1584407.98121459
"032-3",2020,4488004.135,1224086.391,275090.0422,19894.94587,397159.9441,320353.6174,41662.38078,297380.5442,46076.97462,78679.28163,508918.2324,427842.1109,186469.8354,386280.3537,28293.3975416,780407.6268,78414.13568076,21470567.27,133697.294699599,104988.2155,473982.2604,1729769.615,237380.7719,118835.36216767,2323640.501,55747.45807,33211.97817,144034.346,31119.34031,4621.420114,136975.6289,6847.069625,30387631.5600852,181747.1184,187975.9458,233559.9727,1066894.154,238537.2144,1836358.58196477
"035-6",2020,9364483.766,1153772.644,547876.5626,23162.49617,193295.1424,369396.3545,251050.6574,946807.3964,37510.54748,86723.26746,476536.9555,669629.6693,213145.555,601154.8199,35929.870702346,770751.522,85314.3688573,502719.151956259,137849.813434938,13780.52634,760190.291,3408063.901,421533.7047,111196.5279437,1165431.88,92807.33721,64212.51102,884573.7076,626555.1851,14789.34258,509427.763,108194.9046,14094569.329865,201881.8451,355384.067,259181.8028,1863860.625,351823.1742,586059.17681074
