"ID","cohort","Cer(d18:0_24:1)","Cer(d20:0_22:1)","Cer(d20:1_14:0)","Cer(d20:1_16:0)","Cer(d20:1_22:0)","Cer(d24:0_19:1)","Cer(d42:3)","Cer(m20:1_22:0","Cer(m42:1","Hex1Cer(d34:1","Hex1Cer(d34:1)","Hex2Cer(d34:1)","LPE(18:2)-H","LPE(20:4)-H","PC(14:0_20:4)","PC(16:0_18:2)","PC(16:0e_20:4)","PC(16:1e_18:2)","PC(16:1e_20:4)","PC(17:0_18:2)","PC(18:0_18:1)","PC(18:0_18:2)","PC(18:1_18:1)","PC(18:1_22:6)","PC(18:2_18:2)","PC(34:4D8)","PC(8:0e_10:0)","PE(16:0_20:4)-H","PE(16:0_22:6)-H","PE(16:1e_20:4)-H","PE(18:0_20:4)-H","PE(18:1_20:4)-H","PE(18:2e_20:4)-H","PI(16:0_18:2)-H","PI(16:0_20:4)-H","PI(18:0_18:2)-H","PI(18:0_20:4)-H","PI(22:0_18:3)-H","SM(d36:2D9)"
"1-13 CBC",2022,3066878.474,1014620.89,832684.2097,114479631.836419,107271.0079,124721.8962,90414.73303,207998.6646,55850.03206,125575.46,829186.0319,1782755.85,78475.09922,131942.598,32306.61551709,258.0873301,23517.12769931,455.4781808,32444.51784934,50854.60138,63894.4132,375543.2064,6188613.415,117215.32692293,256822.2646,62295.43356,4.486238801,751714.7101,706666.7438,284316.13689455,687192.6483,159051.9646,8561.819769,740892.5429,513956.1939,2839184.968,6466965.816,374875.1629,63841.03569
"1-15 CBC",2022,4517873.91,1281245.79,914713.2344,173974742.9,125682.3854,275713.2038,70545.63768,283357.1403,73696.1258,180809.9989,1013652.596,1824237.195,85270.12886,310662.777,23054.035228204,3651.230482,13359.46422,2131.270662,1197.395156,85040.95616,149561.6444,981723.1417,179546.5411,452924.8757,11450248.79,272031.1897,71754.10287,432926.3393,470686.921,265943.6836,360004.374,48479.35053,22881.97258,553756.5184,361814.9069,2216471.595,4427285.383,11736.04221,416423.5051
"1-17 CBC",2022,5940106.986,1964347.434,1361347.251,46486376.6,124975.3245,241453.5579,130451.7064,175185.3115,128065.6529,138599.0617,707313.4462,2441323.735,73434.24771,96338.04767,967.6033746,5833.611684,1770.799219,9014.097426,41929.984311905,82091.56838,216977.6102,778228.5209,1208647.318,146600.50563404,1667572.816,367080.3021,267293.49040154,1275894.972,845280.1185,16092.99614,1853362.336,104833.9813,10011.76094,1434021.405,904521.5548,2865661.054,7232656.354,201278.9576,21767.52056
"1-18 CBC",2022,2432815.625,1064513.129,341302.3419,49734214.6707008,118303.6445,226018.8562,36294.83347,218103.3592,49650.24939,153620.0753,1061172.633,1423490.72,69883.88522,545763.9305,28631.539202502,429.0653186,30494.18004421,15262.460240578,29454.601332419,54738.09476,36516.27383,755598.5979,2384839.177,38838.61193,734625.4846,213162.911,552380.1687,224418.5348,278982.1536,59858.45398,271492.97,30366.00534,15469.68121,341879.146,457013.1667,1435199.461,7764709.012,450406.934,28093.11643
"1-19 CBC",2022,2994557.297,1467479.185,28111.35283,41819470.599558,81887.06955,103545.6189,55628.33048,169643.7099,63160.05574,172010.1387,743962.453,925732.1137,426707.6033,602673.83,49415.928697286,5069.795297,42794.23739443,453262.533919522,1438.562967,127199.1612,156756.5214,1109616.342,6222209.609,47959.60878,2443721.071,2360.039852,5700.548932,220614.8802,55086.68541,789226.0925,175954.4841,5196.894032,10859.20715,658788.4873,545159.6053,1201521.95,3122107.088,402279.1086,48865.3881
"1-21 CBC",2022,2946287.095,1026332.395,697824.3487,75670516.9607808,112877.5005,104918.2364,35184.66171,240822.8624,52005.56853,91417.18069,1152936.344,879480.8348,275169.428,466884.6906,19523.903970366,3561.959379,6184.238185,2699.107795,587.8194989,77897.60226,120810.0248,3029260.969,390852.3225,133187.6595,2809143.446,127398.3462,261028.1079,138038.2404,150599.7052,150636.2476,240721.5839,12374.58768,22032.02155,405356.5673,303830.5813,1013857.897,2257165.285,22848.89382,108910.8243
"1-22 CBC",2022,1573439.641,804959.7641,727329.0753,87281557.1315429,11213.60567,79083.81196,25816.03116,30881.16123,32341.36408,170065.7263,921514.8231,1150081.052,126378.3275,331421.9538,34046.94951612,185.158853,60292.13163258,407.2793404,53109.13207133,67480.58473011,52749.34939,448195.4459,1146850.784,10868.26505,726902.13,89182.07164,283965.0528,193084.2864,206609.0423,326508.07750755,137382.7659,48639.13653,8360.65486,288420.6899,378802.8276,647037.9102,3880345.078,752095.2253,254234.8319176
"1-23 CBC",2022,6955257.353,2431379.544,516126.4709,44493296.797926,162593.1794,418638.4133,52988.5652,314128.5803,133509.5851,181322.7605,1007326.868,905009.7595,317699.5692,464084.2087,22127.116764366,3447.013249,3229.072256,3263.765471,41790.205349112,81597.39411,159517.2006,2707561.274,23572777.97,125356.3297,1646644.466,214129.9324,389287.6571,364196.6439,253984.2322,158556.1627,719324.1607,40560.66381,8012.304083,649205.6871,500862.4771,1531979.84,5294963.688,256240.139,77457.75257
"1-25 CBC",2022,5141025.067,1660524.358,1512347.863,84222249.3563629,139467.3119,172664.2215,139164.7432,364804.6963,101512.9273,192901.1816,1683990.722,2211905.45,114981.2504,173536.1614,24844.501762416,3667.379389,22921.80861071,473.8574339,48871.791645497,73964.91259,121849.991,1804239.336,849931.4172,35511.07356,2986057.888,199880.1948,21480.26606,1302265.315,1116979.11,77469.21079,1768719.665,203216.1805,33999.77464,1840230.076,839966.5696,3483301.764,5933967.315,18006.58512,232573.2357
"1-26 CBC",2022,6368275.24,1687229.696,592004.6155,29478283.8850192,291007.1354,892085.2172,50780.20492,572211.9395,64578.63233,126797.1764,1185022.217,1424066.413,323440.9031,581960.478,30947.261354262,5698.944164,58281.39698917,11066.37959,1303.158746,85926.46835,44523.87254,1264342.958,1415772.749,237422.8135,3827204.316,378118.291,168426.0982,343200.9546,175998.7392,17119.56547,322321.9263,85988.19913,35449.33688,337920.0962,500017.0835,888145.1902,3910345.4,758767.0443,266542.629
